,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
21,23.0,213.5,59.428,163.88,143.507,6.967,192.2,15.64,21.0,213.349,59.01,164.35,140.093,6.716,188.0,15.47,0.5880346366129456,0.4376680786371902
22,24.0,125.063,33.597,225.32,155.354,4.646,91.84,10.81,22.0,124.484,34.009,225.91,151.982,4.477,88.16,10.59,0.5341859299585525,0.5229736828611852
23,25.0,133.744,66.775,214.94,169.784,4.493,177.9,15.05,23.0,133.316,67.032,215.41,166.4,4.368,173.3,14.85,0.5588460060134876,0.4701524657886178
24,26.0,132.579,70.123,202.74,180.72,0.16,0.8,1.01,24.0,132.222,70.331,203.33,177.36,0.08,0.8,1.01,0.6134341527940045,0.395129242817487
25,27.0,22.561,31.233,346.64,190.332,7.785,341.1,20.84,25.0,23.424,31.456,345.58,187.004,7.613,333.3,20.6,0.596275021306523,0.5012493368882617
26,28.0,94.304,55.458,275.9,203.288,2.002,26.88,5.85,27.0,94.192,55.988,275.86,199.898,1.993,26.88,5.85,0.5478048361331594,0.5380195607185179
27,29.0,217.112,41.61,132.95,213.799,3.39,101.9,11.39,28.0,216.623,41.09,133.51,210.392,3.358,101.1,11.35,0.6418552968289549,0.6121803195186647
28,30.0,74.193,50.451,282.99,222.388,0.6,5.44,2.63,29.0,74.161,51.105,282.92,219.036,0.646,6.24,2.82,0.660660862399619,0.6544696682752689
29,31.0,223.268,51.056,148.07,228.152,1.274,20.64,5.13,30.0,222.902,50.625,148.51,224.8,1.239,19.84,5.03,0.556710931089021,0.516040979757324
30,32.0,77.874,19.782,300.89,234.175,4.891,72.16,9.59,31.0,77.909,20.344,300.79,230.761,4.969,71.68,9.55,0.566121605074075,0.5621282216383415
31,33.0,26.655,81.046,336.58,240.998,2.298,47.2,7.75,32.0,26.648,81.427,336.12,237.516,2.387,49.6,7.95,0.598155829159494,0.3810628063740583
32,34.0,141.795,26.211,243.25,245.733,1.467,1.44,1.35,33.0,140.901,26.749,244.13,242.291,1.418,1.76,1.5,0.6743067827094041,0.6695709594306617
33,35.0,26.458,81.171,336.63,246.527,1.145,3.52,2.12,32.0,26.648,81.427,336.12,237.516,2.387,49.6,7.95,0.576556640288918,0.3175055683891475
34,36.0,128.383,22.446,256.02,248.164,0.527,3.52,2.12,33.0,140.901,26.749,244.13,242.291,1.418,1.76,1.5,6.754469594853824,6.736537617734101
35,37.0,48.705,70.096,297.27,252.453,0.16,2.4,1.75,36.0,48.759,70.878,296.72,250.629,0.229,5.6,2.67,0.9471505971459137,0.7836546477471744
